[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
TokenMonster vocab loaded successfully, bpb metrics enabled
Downloading (incomplete total...): 0.00B [00:00, ?B/s]                                                                                                                 Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.          | 0/4 [00:00<?, ?it/s]
Fetching 4 files: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:02<00:00,  1.74it/s]
Download complete: : 812MB [00:02, 834MB/s]              logs/d4d32bf6-4846-41b2-8730-d6f4dc1a401f.txt                                    | 1/4 [00:02<00:06,  2.30s/it]
Download complete: : 812MB [00:06, 118MB/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 495, 496, 497, 498, 991, 992, 993, 994, 1488, 1489, 1490, 1491] for warmup
Resetting Model
step:0/1530 val_loss[approx]:10.1720npt val_loss[exact]:3.2174bpb val_acc:0.03% train_time:0ms step_avg:0.05ms
step:365/1530 train_time:116225ms step_avg:318.42ms
step:366/1530 train_time:116539ms step_avg:318.41ms
step:367/1530 train_time:116855ms step_avg:318.41ms
step:368/1530 train_time:117171ms step_avg:318.40ms
step:369/1530 train_time:117488ms step_avg:318.40ms
step:370/1530 train_time:117804ms step_avg:318.39ms
step:371/1530 train_time:118121ms step_avg:318.38ms
step:372/1530 train_time:118434ms step_avg:318.37ms
step:373/1530 train_time:118751ms step_avg:318.37ms
step:374/1530 train_time:119068ms step_avg:318.36ms
step:375/1530 train_time:119385ms step_avg:318.36ms
step:376/1530 train_time:119701ms step_avg:318.35ms
step:377/1530 train_time:120016ms step_avg:318.35ms
step:378/1530 train_time:120331ms step_avg:318.34ms
step:379/1530 train_time:120650ms step_avg:318.34ms
step:380/1530 train_time:120966ms step_avg:318.33ms
step:381/1530 train_time:121281ms step_avg:318.32ms
step:382/1530 train_time:121597ms step_avg:318.32ms
step:383/1530 train_time:121914ms step_avg:318.31ms
step:384/1530 train_time:122229ms step_avg:318.30ms
step:385/1530 train_time:122547ms step_avg:318.30ms
step:386/1530 train_time:122863ms step_avg:318.30ms
step:387/1530 train_time:123178ms step_avg:318.29ms
step:388/1530 train_time:123493ms step_avg:318.28ms
step:389/1530 train_time:123810ms step_avg:318.28ms
step:390/1530 train_time:124126ms step_avg:318.27ms
step:391/1530 train_time:124442ms step_avg:318.27ms
step:392/1530 train_time:124757ms step_avg:318.26ms
