root@db4c43576df5:/modded-nanogpt# uv  run torchrun --standalone --nproc_per_node=1 train_gpt.py
[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:02<00:00,  1.90it/s]
Download complete: : 812MB [00:02, 429MB/s]                                                                                                                             logs/e504b0a7-96bd-469a-8d18-a35e8eb0d6a4.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Download complete: : 812MB [00:10, 81.2MB/s]

Resetting Model
step:0/1480 val_loss:10.8282 train_time:0ms step_avg:0.03ms
step:331/1480 train_time:116525ms step_avg:352.04ms
step:332/1480 train_time:116876ms step_avg:352.04ms
step:333/1480 train_time:117228ms step_avg:352.04ms
step:334/1480 train_time:117577ms step_avg:352.03ms
step:335/1480 train_time:117930ms step_avg:352.03ms
step:336/1480 train_time:118280ms step_avg:352.02ms
step:337/1480 train_time:118631ms step_avg:352.02ms
step:338/1480 train_time:118982ms step_avg:352.02ms
step:339/1480 train_time:119333ms step_avg:352.01ms
step:340/1480 train_time:119683ms step_avg:352.01ms
step:341/1480 train_time:120036ms step_avg:352.01ms
step:342/1480 train_time:120386ms step_avg:352.01ms
step:343/1480 train_time:120737ms step_avg:352.00ms
step:344/1480 train_time:121089ms step_avg:352.00ms
step:345/1480 train_time:121439ms step_avg:352.00ms
step:346/1480 train_time:121789ms step_avg:351.99ms
step:347/1480 train_time:122142ms step_avg:351.99ms
step:348/1480 train_time:122491ms step_avg:351.99ms
step:349/1480 train_time:122842ms step_avg:351.98ms
step:350/1480 train_time:123193ms step_avg:351.98ms
step:351/1480 train_time:123545ms step_avg:351.98ms
step:352/1480 train_time:123895ms step_avg:351.97ms
step:353/1480 train_time:124247ms step_avg:351.98ms
step:354/1480 train_time:124597ms step_avg:351.97ms
step:355/1480 train_time:124948ms step_avg:351.97ms
step:356/1480 train_time:125298ms step_avg:351.96ms
step:357/1480 train_time:125650ms step_avg:351.96ms
step:358/1480 train_time:125999ms step_avg:351.95ms
step:359/1480 train_time:126351ms step_avg:351.95ms
step:360/1480 train_time:126703ms step_avg:351.95ms
step:361/1480 train_time:127053ms step_avg:351.95ms
step:362/1480 train_time:127404ms step_avg:351.94ms
step:363/1480 train_time:127755ms step_avg:351.94ms
step:364/1480 train_time:128105ms step_avg:351.94ms
step:365/1480 train_time:128455ms step_avg:351.93ms
step:366/1480 train_time:128805ms step_avg:351.93ms
step:367/1480 train_time:129156ms step_avg:351.92ms
step:368/1480 train_time:129506ms step_avg:351.92ms
step:369/1480 train_time:129857ms step_avg:351.92ms
step:370/1480 train_time:130209ms step_avg:351.92ms
step:371/1480 train_time:130561ms step_avg:351.92ms
step:372/1480 train_time:130909ms step_avg:351.91ms
step:373/1480 train_time:131261ms step_avg:351.91ms
step:374/1480 train_time:131610ms step_avg:351.90ms
step:375/1480 train_time:131963ms step_avg:351.90ms
step:376/1480 train_time:132311ms step_avg:351.89ms
step:377/1480 train_time:132664ms step_avg:351.89ms
step:378/1480 train_time:133012ms step_avg:351.88ms
step:379/1480 train_time:133365ms step_avg:351.89ms
step:380/1480 train_time:133714ms step_avg:351.88ms
step:381/1480 train_time:134066ms step_avg:351.88ms
step:382/1480 train_time:134415ms step_avg:351.87ms
step:383/1480 train_time:134768ms step_avg:351.88ms
step:384/1480 train_time:135117ms step_avg:351.87ms
step:385/1480 train_time:135470ms step_avg:351.87ms
step:386/1480 train_time:135818ms step_avg:351.86ms
step:387/1480 train_time:136170ms step_avg:351.86ms
step:388/1480 train_time:136519ms step_avg:351.85ms
step:389/1480 train_time:136870ms step_avg:351.85ms
step:390/1480 train_time:137222ms step_avg:351.85ms
step:391/1480 train_time:137573ms step_avg:351.85ms
step:392/1480 train_time:137923ms step_avg:351.84ms
step:393/1480 train_time:138274ms step_avg:351.84ms
step:394/1480 train_time:138624ms step_avg:351.84ms
step:395/1480 train_time:138974ms step_avg:351.83ms
step:396/1480 train_time:139325ms step_avg:351.83ms
step:397/1480 train_time:139675ms step_avg:351.83ms
step:398/1480 train_time:140025ms step_avg:351.82ms
step:399/1480 train_time:140377ms step_avg:351.82ms
step:400/1480 train_time:140726ms step_avg:351.82ms
step:401/1480 train_time:141077ms step_avg:351.81ms
step:402/1480 train_time:141427ms step_avg:351.81ms
step:403/1480 train_time:141778ms step_avg:351.81ms
step:404/1480 train_time:142127ms step_avg:351.80ms
step:405/1480 train_time:142479ms step_avg:351.80ms
step:406/1480 train_time:142829ms step_avg:351.80ms
step:407/1480 train_time:143178ms step_avg:351.79ms
step:408/1480 train_time:143529ms step_avg:351.79ms
step:409/1480 train_time:143880ms step_avg:351.78ms
step:410/1480 train_time:144231ms step_avg:351.78ms
step:411/1480 train_time:144580ms step_avg:351.78ms
step:412/1480 train_time:144931ms step_avg:351.77ms
step:413/1480 train_time:145283ms step_avg:351.77ms
step:414/1480 train_time:145631ms step_avg:351.77ms
step:415/1480 train_time:145985ms step_avg:351.77ms
step:416/1480 train_time:146332ms step_avg:351.76ms
step:417/1480 train_time:146683ms step_avg:351.76ms
step:418/1480 train_time:147033ms step_avg:351.75ms
step:419/1480 train_time:147384ms step_avg:351.75ms
step:420/1480 train_time:147733ms step_avg:351.75ms
step:421/1480 train_time:148086ms step_avg:351.75ms
step:422/1480 train_time:148434ms step_avg:351.74ms
step:423/1480 train_time:148785ms step_avg:351.74ms
step:424/1480 train_time:149134ms step_avg:351.73ms
step:425/1480 train_time:149486ms step_avg:351.73ms
step:426/1480 train_time:149835ms step_avg:351.72ms
step:427/1480 train_time:150187ms step_avg:351.73ms
step:428/1480 train_time:150537ms step_avg:351.72ms
step:429/1480 train_time:150889ms step_avg:351.72ms
step:430/1480 train_time:151238ms step_avg:351.72ms
step:431/1480 train_time:151590ms step_avg:351.72ms
step:432/1480 train_time:151938ms step_avg:351.71ms
step:433/1480 train_time:152290ms step_avg:351.71ms
step:434/1480 train_time:152640ms step_avg:351.70ms
step:435/1480 train_time:152991ms step_avg:351.70ms
step:436/1480 train_time:153340ms step_avg:351.70ms
step:437/1480 train_time:153692ms step_avg:351.70ms
step:438/1480 train_time:154041ms step_avg:351.69ms
step:439/1480 train_time:154393ms step_avg:351.69ms
step:440/1480 train_time:154741ms step_avg:351.68ms
step:441/1480 train_time:155092ms step_avg:351.68ms
step:442/1480 train_time:155443ms step_avg:351.68ms
step:443/1480 train_time:155793ms step_avg:351.68ms
step:444/1480 train_time:156143ms step_avg:351.67ms
step:445/1480 train_time:156494ms step_avg:351.67ms
step:446/1480 train_time:156844ms step_avg:351.67ms
step:447/1480 train_time:157195ms step_avg:351.67ms
step:448/1480 train_time:157545ms step_avg:351.66ms
step:449/1480 train_time:157895ms step_avg:351.66ms
step:450/1480 train_time:158245ms step_avg:351.66ms
step:451/1480 train_time:158595ms step_avg:351.65ms
step:452/1480 train_time:158944ms step_avg:351.65ms
